barrier,config,method,energy_ev_per_cell,error_ev
barrier,0,DFT,-29229.321803834195,
barrier,1,DFT,-29229.315742633968,
barrier,2,DFT,-29229.292213084336,
barrier,3,DFT,-29229.26487380458,
barrier,4,DFT,-29229.24272060686,
barrier,5,DFT,-29229.230568409937,
barrier,6,DFT,-29229.2290856615,
barrier,7,DFT,-29229.234364262258,
barrier,8,DFT,-29229.2365340982,
barrier,0,DMC,-29278.089876,0.019456
barrier,1,DMC,-29278.035971,0.01968
barrier,2,DMC,-29277.964695,0.021564
barrier,3,DMC,-29278.010707,0.020266
barrier,4,DMC,-29277.941951,0.020424
barrier,5,DMC,-29278.013743,0.019874
barrier,6,DMC,-29278.054271,0.018852
barrier,7,DMC,-29278.031852,0.019069
barrier,8,DMC,-29277.962348,0.019922
barrier2,0,DFT,-29229.227747405523,
barrier2,1,DFT,-29229.22923205876,
barrier2,2,DFT,-29229.21685115013,
barrier2,3,DFT,-29229.210926687112,
barrier2,4,DFT,-29229.223799305495,
barrier2,5,DFT,-29229.25772618975,
barrier2,6,DFT,-29229.30469766835,
barrier2,7,DFT,-29229.34813969409,
barrier2,8,DFT,-29229.365683282973,
barrier2,0,DMC,-29277.889013,0.022006
barrier2,1,DMC,-29278.005507,0.020809
barrier2,2,DMC,-29278.181317,0.020678
barrier2,3,DMC,-29278.026904,0.019679
barrier2,4,DMC,-29277.95182,0.022806
barrier2,5,DMC,-29278.095697,0.018683
barrier2,6,DMC,-29278.117006,0.019256
barrier2,7,DMC,-29278.150959,0.020329
barrier2,8,DMC,-29278.228587,0.018662
barrier3,0,DFT,-29229.27660762644,
barrier3,1,DFT,-29229.274250848273,
barrier3,2,DFT,-29229.26888816433,
barrier3,3,DFT,-29229.268466115733,
barrier3,4,DFT,-29229.27684858326,
barrier3,5,DFT,-29229.29423203314,
barrier3,6,DFT,-29229.31718755858,
barrier3,7,DFT,-29229.338338424877,
barrier3,8,DFT,-29229.345289981666,
barrier3,0,DMC,-29278.005076,0.019776
barrier3,1,DMC,-29278.020235,0.020797
barrier3,2,DMC,-29277.984465,0.022752
barrier3,3,DMC,-29278.028091,0.0185
barrier3,4,DMC,-29278.024935,0.020073
barrier3,5,DMC,-29278.012864,0.021585
barrier3,6,DMC,-29278.069223,0.019159
barrier3,7,DMC,-29278.065113,0.020845
barrier3,8,DMC,-29278.093092,0.019877
