datasize_heating1,DFT,datasize100_MLIP1,datasize100_MLIP2,datasize100_MLIP3,datasize1000_MLIP1,datasize1000_MLIP2,datasize1000_MLIP3,datasize24000_MLIP1,datasize24000_MLIP2,datasize24000_MLIP3,datasize_heating2,datasize_heating3
-741.1858,-741.49985376,-741.5200399999999,-741.65829,-741.6209699999999,-741.67024,-741.65832,-741.8232800000001,-741.57581,-741.7343900000001,-741.55724,-741.21109,-741.1866500000001
-741.18115,-741.49620981,-741.5128400000001,-741.64905,-741.61013,-741.6608699999999,-741.6557499999999,-741.8241599999999,-741.57542,-741.7321900000001,-741.55519,-741.20966,-741.18247
-741.16236,-741.47545452,-741.49321,-741.62519,-741.59001,-741.63932,-741.64013,-741.8105800000001,-741.5641999999999,-741.72973,-741.53863,-741.1948199999999,-741.1728
-741.15131,-741.46390021,-741.4815,-741.60977,-741.57792,-741.6279999999999,-741.62745,-741.8083899999999,-741.56435,-741.73155,-741.52619,-741.19097,-741.17332
-741.16192,-741.47337021,-741.4971700000001,-741.62071,-741.5868999999999,-741.64407,-741.6370099999999,-741.82537,-741.57969,-741.7520000000001,-741.53377,-741.211,-741.18705
-741.1981,-741.505974,-741.5361200000001,-741.65729,-741.6232500000001,-741.683,-741.67033,-741.86908,-741.6150899999999,-741.7915800000001,-741.56936,-741.25035,-741.22258
-741.24925,-741.55112011,-741.59289,-741.70849,-741.67281,-741.73785,-741.71701,-741.92245,-741.6647800000001,-741.84202,-741.61726,-741.3048200000001,-741.273
-741.297,-741.59313807,-741.6377,-741.75668,-741.71761,-741.7875,-741.76498,-741.9706699999999,-741.7103400000001,-741.8827200000001,-741.65789,-741.3516500000001,-741.31774
-741.3224700000001,-741.60943576,-741.66147,-741.77985,-741.7399,-741.81117,-741.7857200000001,-741.98824,-741.73089,-741.8960099999999,-741.6735699999999,-741.3716199999999,-741.33227
